OBJECTID,name,latitude_centroid,longitude_centroid,median_household_income,surface_area,population_density,average_age,families_with_children_percentage,rent_vs_own_percentage,unemployment_rate,education_level_percentage,total_crimes,violent_ratio,property_ratio,violent_vs_property_ratio,crime_trend_slope,crimes_per_100_people,median_rent,median_home_price,average_housing_age,air_quality_index,average_dB_level,maximum_dB_level,gym_density,culture_density,local_businesses_density,restaurant_density,premium_stores_density,nightlife_density,hospital_density,dist_downtown_km,proximity_to_sea,green_space_percentage,charging_stations_number,walk_score,transit_score,bike_score,accessibility_score
1,Adams-Normandie,34.031368026079626,-118.30032586267872,59907.0,2.1,1734.2857142857142,35.6,45.144157814871015,77.2382397572079,8.9,22.1,5248,0.3279344512195122,0.6074695121951219,0.5398368883312421,-3.686813186813186,144.09665019220208,1556.0,959100.0,,Moderate,60,80,0.95,1.9,4.76,9.52,0.0,0.95,0.48,5.711581244283679,16.734560870079108,8,25,65,58,55,70
2,Arleta,34.24131257084159,-118.43215715634392,99875.0,8.0,581.25,31.1,69.87295825771325,17.05989110707804,4.3,12.4,6589,0.2651388678099863,0.6483533161329489,0.4089419475655431,-5.203296703296704,141.6989247311828,2430.0,639500.0,68.0,Moderate/Poor,65,85,0.5,0.13,1.88,3.75,0.0,0.62,0.38,27.2553592036634,26.33091596730113,12,50,51,40,59,55
3,Arlington Heights,34.04383374693933,-118.32144607177106,46586.0,1.0,3571.0,34.9,78.85756676557864,83.38278931750742,7.0,15.1,7101,0.2916490635121814,0.6518800168990283,0.447396845971052,-4.445054945054946,198.8518622234668,1247.0,1051300.0,78.0,Moderate,60,80,2.0,1.0,8.0,15.0,0.0,3.0,1.0,7.225161343881923,15.427678085066828,10,30,75,62,60,75
4,Atwater Village,34.12604079191589,-118.26506611392412,81283.0,3.0,1252.0,40.6,21.1629125196438,75.74646411733892,8.0,52.3,2732,0.1936310395314787,0.7569546120058566,0.2558027079303675,-1.6923076923076923,72.73695420660276,2167.0,1179300.0,65.0,Moderate,65,85,1.67,0.67,8.33,13.33,0.33,2.67,0.33,8.439757734647479,24.75801971713144,15,40,73,51,71,75
5,Baldwin Hills/Crenshaw,34.01552858715053,-118.3546888919299,64259.0,7.5,423.3333333333333,35.8,39.479553903345725,100.0,18.8,25.9,7885,0.3462270133164236,0.5959416613823716,0.5809746754628644,-3.010989010989012,248.3464566929134,1550.0,,67.0,Moderate,60,80,0.67,0.4,4.67,6.67,0.27,1.33,0.4,11.01321862566882,11.426515994626058,18,35,70,60,65,65
6,Bel-Air,34.09926247583929,-118.46113423870987,238250.0,9.1,299.010989010989,50.9,42.08566108007449,12.197392923649906,6.3,79.1,1241,0.1837228041901692,0.7236099919419823,0.2538975501113585,-0.6593406593406593,45.60823226754869,,2000000.0,61.0,Good/Moderate,50,70,0.11,0.11,0.22,0.55,0.0,0.11,0.0,20.699209290599253,10.380944661482568,55,80,14,19,8,50
7,Beverly Crest,34.11178477954148,-118.4272593820503,250000.0,4.0,997.5,47.5,48.80450070323488,9.071729957805909,0.9,75.2,1035,0.1681159420289855,0.744927536231884,0.22568093385214,-0.2802197802197802,25.93984962406015,3133.0,2000000.0,55.0,Good/Moderate,50,70,0.25,0.0,0.25,0.5,0.0,0.0,0.0,18.15705703013952,12.92186169985192,65,60,20,25,15,55
8,Beverly Grove,34.07563397007441,-118.37129925821009,94229.0,2.5,1152.0,37.3,17.08645336963921,77.33151803948263,8.5,73.2,8654,0.2039519297434712,0.7583776288421539,0.2689318909035502,-5.461538461538463,300.4861111111111,2295.0,1659700.0,64.0,Moderate,65,90,4.8,1.2,28.0,40.0,10.0,8.0,2.0,12.03990607918886,13.58278755866969,12,50,75,60,62,80
9,Beverlywood,34.04473790689913,-118.39376289381342,250000.0,2.8,1500.7142857142858,41.9,45.16594516594517,4.401154401154401,8.4,84.3,4225,0.213491124260355,0.7379881656804733,0.2892880051314945,-2.3736263736263736,100.54735840076154,,2000000.0,74.0,Good/Moderate,55,75,0.71,0.36,3.57,5.36,0.0,1.07,0.36,13.85228469012721,9.872956802164582,18,45,70,55,58,75
10,Boyle Heights,34.038560276408504,-118.20892973967996,55119.0,7.5,649.7333333333333,34.4,66.37426900584795,73.68421052631578,9.3,7.1,20252,0.3174995062216077,0.6204325498716177,0.5117389574214086,-13.631868131868131,415.5961420069772,1316.0,613600.0,79.0,Moderate/Poor,65,90,0.4,0.53,4.0,8.0,0.13,1.33,0.53,3.5447085288854057,25.062303203412863,10,40,83,67,56,70
