OBJECTID,name,latitude_centroid,longitude_centroid,surface_area,air_quality_index,average_dB_level,maximum_dB_level,gym_density,culture_density,local_businesses_density,restaurant_density,premium_stores_density,nightlife_density,hospital_density
1,Adams-Normandie,34.031368026079626,-118.30032586267873,2.1,Moderate,60,80,0.95,1.90,4.76,9.52,0,0.95,0.48
2,Arleta,34.24131257084159,-118.43215715634392,8.0,Moderate/Poor,65,85,0.50,0.13,1.88,3.75,0,0.62,0.38
3,Arlington Heights,34.04383374693933,-118.32144607177106,1.0,Moderate,60,80,2.00,1.00,8.00,15,0,3,1
4,Atwater Village,34.12604079191589,-118.26506611392412,3.0,Moderate,65,85,1.67,0.67,8.33,13.33,0.33,2.67,0.33
5,Baldwin Hills/Crenshaw,34.01552858715053,-118.3546888919299,7.5,Moderate,60,80,0.67,0.40,4.67,6.67,0.27,1.33,0.40
6,Bel-Air,34.09926247583929,-118.46113423870989,9.1,Good/Moderate,50,70,0.11,0.11,0.22,0.55,0,0.11,0
7,Beverly Crest,34.11178477954148,-118.4272593820503,4.0,Good/Moderate,50,70,0.25,0.00,0.25,0.50,0,0,0
8,Beverly Grove,34.07563397007441,-118.37129925821009,2.5,Moderate,65,90,4.80,1.20,28.00,40,10,8,2
9,Beverlywood,34.04473790689913,-118.39376289381342,2.8,Good/Moderate,55,75,0.71,0.36,3.57,5.36,0,1.07,0.36
10,Boyle Heights,34.038560276408504,-118.20892973967995,7.5,Moderate/Poor,65,90,0.40,0.53,4.00,8,0.13,1.33,0.53
11,Brentwood,34.08860164740486,-118.4951425967024,5.7,Good,60,80,1.75,0.35,8.77,12.28,2.63,2.63,0.88
12,Broadway-Manchester,33.941539742532655,-118.27485798533043,1.5,Moderate/Poor,65,85,0.67,0.67,3.33,6.67,0,1.33,0.67
13,Canoga Park,34.20910287047777,-118.600569019906,10.0,Moderate/Poor,65,85,0.60,0.20,3.50,6,0.50,1.50,0.50
14,Carthay,34.05810530811959,-118.36953151805585,1.2,Moderate,60,80,2.50,0.83,12.50,16.67,0.83,4.17,0.83
15,Central-Alameda,34.00521777759098,-118.24776781052158,2.0,Moderate/Poor,65,90,0.50,0.50,2.50,7.50,0,1,0.50
16,Century City,34.05497197257868,-118.41557681987652,2.5,Moderate,65,90,3.20,1.20,18.00,24,12,6,2
17,Chatsworth,34.261063039647475,-118.59312165739038,15.0,Moderate/Poor,55,75,0.33,0.13,1.33,2.33,0.07,0.33,0.20
18,Chatsworth Reservoir,34.23235163934279,-118.63034954139421,5.0,Good,45,65,0.00,0.00,0.00,0,0,0,0
19,Chesterfield Square,33.98379971824574,-118.31327070713968,1.0,Moderate/Poor,60,80,1.00,0.00,5.00,8,0,1,1
20,Cheviot Hills,34.04032515620858,-118.40914404805028,2.5,Good,55,75,0.80,0.40,2.00,4,0,0.80,0.40
21,Chinatown,34.06379102742822,-118.23498656117518,1.2,Moderate/Poor,65,90,1.67,4.17,33.33,41.67,0.83,8.33,1.67
22,Cypress Park,34.09100571528915,-118.22454368571802,3.0,Moderate/Poor,65,90,0.67,0.33,3.33,5,0,1.67,0.33
23,Del Rey,33.989698032681495,-118.42388714341433,4.0,Good,55,75,0.75,0.25,3.75,6.25,0,1.25,0.50
24,Downtown,34.03903398703918,-118.24576375665511,5.8,Moderate/Poor,70,95,2.59,3.45,25.86,34.48,3.45,12.07,1.72
25,Eagle Rock,34.13623125885513,-118.20783199128888,7.7,Moderate,60,85,0.65,0.39,4.55,6.49,0.13,1.95,0.26
26,East Hollywood,34.088651881178436,-118.29722668055189,2.5,Moderate,65,90,2.40,1.60,18.00,28,0.80,8,2
27,Echo Park,34.078969140221346,-118.25641203989181,2.5,Moderate,65,85,1.60,1.20,12.00,20,0.40,10,0.80
28,El Sereno,34.07912669111998,-118.17585882929852,3.0,Moderate/Poor,60,80,0.67,0.33,3.33,6.67,0,1.67,0.33
29,Elysian Park,34.07894786667291,-118.23820412043017,2.4,Good,45,65,0.00,0.00,0.00,0,0,0,0
30,Elysian Valley,34.09753317187407,-118.24194928886669,2.0,Moderate,55,75,1.00,0.50,2.50,5,0,1.50,0
31,Encino,34.15211447186858,-118.50204855273549,8.0,Moderate/Poor,65,85,1.00,0.38,6.25,10,1,1.88,1
32,Exposition Park,34.01758108725821,-118.3016943292226,6.4,Moderate,65,85,0.31,1.56,2.34,4.69,0,0.78,0.47
33,Fairfax,34.0791223414669,-118.35231121858037,2.0,Moderate,65,90,4.00,2.00,30.00,40,7.50,10,2
